CONSTANT,LIQUIDITY_POOL_USD_SIZE_AT,LIQUIDITY_POOL_VINCI_SIZE_AT,LIQUIDITY_POOL_USD_SIZE,LIQUIDITY_POOL_VINCI_SIZE,VINCI_TRADED,TRADE_VOLUME_USD,NEW_PRICE,PRICE_IMPACT
3375000000000.0,430942.7537773994,7831666.666666667,450000.0,7500000.0,-331666.666666667,19900,0.0550256761579995,-0.08290539736667502
3375000000000.0,430851.06382978725,7833333.333333333,450000.0,7500000.0,-333333.333333333,20000,0.055002263467632415,-0.08329560887279308
3375000000000.0,430759.41289087426,7835000.0,450000.0,7500000.0,-335000.0,20100,0.05497886571676761,-0.08368557138720645
3375000000000.0,430667.800935772,7836666.666666667,450000.0,7500000.0,-336666.666666667,20200,0.0549554828926974,-0.08407528512170992
3375000000000.0,430576.22793961305,7838333.333333333,450000.0,7500000.0,-338333.333333333,20300,0.054932114982727584,-0.08446475028787359
3375000000000.0,430484.693877551,7840000.0,450000.0,7500000.0,-340000.0,20400,0.05490876197417743,-0.08485396709704285
3375000000000.0,430393.19872476085,7841666.666666667,450000.0,7500000.0,-341666.666666667,20500,0.0548854238543797,-0.08524293576033826
3375000000000.0,430301.7424564386,7843333.333333333,450000.0,7500000.0,-343333.333333333,20600,0.054862100610680656,-0.08563165648865567
3375000000000.0,430210.32504780113,7845000.0,450000.0,7500000.0,-345000.0,20700,0.054838792230439914,-0.08602012949266802
3375000000000.0,430118.94647408667,7846666.666666667,450000.0,7500000.0,-346666.666666667,20800,0.054815498701030585,-0.08640835498282351
3375000000000.0,430027.6067105543,7848333.333333333,450000.0,7500000.0,-348333.333333333,20900,0.05479222000983915,-0.08679633316934743
3375000000000.0,429936.3057324841,7850000.0,450000.0,7500000.0,-350000.0,21000,0.05476895614426549,-0.08718406426224179
3375000000000.0,429845.0435151772,7851666.666666667,450000.0,7500000.0,-351666.666666667,21100,0.05474570709172284,-0.0875715484712859
3375000000000.0,429753.82003395585,7853333.333333333,450000.0,7500000.0,-353333.333333333,21200,0.05472247283963785,-0.0879587860060359
3375000000000.0,429662.63526416296,7855000.0,450000.0,7500000.0,-355000.0,21300,0.05469925337545041,-0.08834577707582647
3375000000000.0,429571.4891811625,7856666.666666667,450000.0,7500000.0,-356666.666666667,21400,0.054676048686613805,-0.08873252188976988
3375000000000.0,429480.38176033937,7858333.333333333,450000.0,7500000.0,-358333.333333333,21500,0.05465285876059462,-0.08911902065675625
3375000000000.0,429389.3129770992,7860000.0,450000.0,7500000.0,-360000.0,21600,0.05462968358487267,-0.08950527358545546
3375000000000.0,429298.2828068688,7861666.666666667,450000.0,7500000.0,-361666.666666667,21700,0.054606523146941116,-0.08989128088431475
3375000000000.0,429207.2912250954,7863333.333333333,450000.0,7500000.0,-363333.333333333,21800,0.05458337743430633,-0.09027704276156112
3375000000000.0,429116.3382072473,7865000.0,450000.0,7500000.0,-365000.0,21900,0.0545602464344879,-0.09066255942520174
3375000000000.0,429025.42372881353,7866666.666666667,450000.0,7500000.0,-366666.666666667,22000,0.054537130135018666,-0.09104783108302217
3375000000000.0,428934.547765304,7868333.333333333,450000.0,7500000.0,-368333.333333333,22100,0.054514028523444696,-0.09143285794258837
3375000000000.0,428843.71029224904,7870000.0,450000.0,7500000.0,-370000.0,22200,0.05449094158732516,-0.09181764021124728
3375000000000.0,428752.91128520004,7871666.666666667,450000.0,7500000.0,-371666.666666667,22300,0.05446786931423248,-0.0922021780961253
3375000000000.0,428662.1507197291,7873333.333333333,450000.0,7500000.0,-373333.333333333,22400,0.054444811691752214,-0.09258647180412971
3375000000000.0,428571.4285714286,7875000.0,450000.0,7500000.0,-375000.0,22500,0.05442176870748299,-0.09297052154195007
3375000000000.0,428480.744815912,7876666.666666667,450000.0,7500000.0,-376666.666666667,22600,0.05439874034903664,-0.09335432751605599
3375000000000.0,428390.0994288132,7878333.333333333,450000.0,7500000.0,-378333.333333333,22700,0.05437572660403806,-0.09373788993269894
3375000000000.0,428299.4923857868,7880000.0,450000.0,7500000.0,-380000.0,22800,0.054352727460125226,-0.09412120899791288
3375000000000.0,428208.9236625079,7881666.666666667,450000.0,7500000.0,-381666.666666667,22900,0.05432974290494919,-0.09450428491751339
3375000000000.0,428118.3932346723,7883333.333333333,450000.0,7500000.0,-383333.333333333,23000,0.05430677292617408,-0.0948871178970987
3375000000000.0,428027.9010779962,7885000.0,450000.0,7500000.0,-385000.0,23100,0.054283817511477005,-0.09526970814204994
3375000000000.0,427937.4471682164,7886666.666666667,450000.0,7500000.0,-386666.666666667,23200,0.054260876648548145,-0.0956520558575309
3375000000000.0,427847.03148109023,7888333.333333333,450000.0,7500000.0,-388333.333333333,23300,0.05423795032509067,-0.09603416124848885
3375000000000.0,427756.65399239544,7890000.0,450000.0,7500000.0,-390000.0,23400,0.054215038528820717,-0.0964160245196547
3375000000000.0,427666.31467793026,7891666.666666667,450000.0,7500000.0,-391666.666666667,23500,0.0541921412474674,-0.09679764587554329
3375000000000.0,427576.01351351355,7893333.333333333,450000.0,7500000.0,-393333.333333333,23600,0.05416925846877283,-0.09717902552045277
3375000000000.0,427485.7504749842,7895000.0,450000.0,7500000.0,-395000.0,23700,0.05414639018049198,-0.09756016365846698
3375000000000.0,427395.52553820173,7896666.666666667,450000.0,7500000.0,-396666.666666667,23800,0.054123536370392786,-0.09794106049345352
3375000000000.0,427305.33867904625,7898333.333333333,450000.0,7500000.0,-398333.333333333,23900,0.054100697026256125,-0.09832171622906449
3375000000000.0,427215.1898734177,7900000.0,450000.0,7500000.0,-400000.0,24000,0.054077872135875664,-0.09870213106873893
3375000000000.0,427125.07909723686,7901666.666666667,450000.0,7500000.0,-401666.666666667,24100,0.05405506168705802,-0.0990823052156996
3375000000000.0,427035.00632644456,7903333.333333333,450000.0,7500000.0,-403333.333333333,24200,0.05403226566762268,-0.09946223887295524
3375000000000.0,426944.9715370019,7905000.0,450000.0,7500000.0,-405000.0,24300,0.05400948406540188,-0.09984193224330196
3375000000000.0,426854.9747048904,7906666.666666667,450000.0,7500000.0,-406666.666666667,24400,0.053986716868240775,-0.10022138552932036
3375000000000.0,426765.01580611174,7908333.333333333,450000.0,7500000.0,-408333.333333333,24500,0.05396396406399727,-0.1006005989333788
3375000000000.0,426675.09481668775,7910000.0,450000.0,7500000.0,-410000.0,24600,0.053941225640542066,-0.10097957265763224
3375000000000.0,426585.2117126606,7911666.666666667,450000.0,7500000.0,-411666.666666667,24700,0.05391850158575866,-0.10135830690402237
3375000000000.0,426495.3664700927,7913333.333333333,450000.0,7500000.0,-413333.333333333,24800,0.05389579188754331,-0.10173680187427814
3375000000000.0,426405.55906506634,7915000.0,450000.0,7500000.0,-415000.0,24900,0.05387309653380497,-0.10211505776991714
3375000000000.0,426315.7894736842,7916666.666666667,450000.0,7500000.0,-416666.666666667,25000,0.053850415512465374,-0.10249307479224368
3375000000000.0,426226.05767206906,7918333.333333333,450000.0,7500000.0,-418333.333333333,25100,0.05382774881145894,-0.1028708531423509
3375000000000.0,426136.36363636365,7920000.0,450000.0,7500000.0,-420000.0,25200,0.05380509641873278,-0.10324839302112032
3375000000000.0,426046.7073427309,7921666.666666667,450000.0,7500000.0,-421666.666666667,25300,0.05378245832224669,-0.10362569462922178
3375000000000.0,425957.08876735385,7923333.333333333,450000.0,7500000.0,-423333.333333333,25400,0.05375983450997314,-0.10400275816711435
3375000000000.0,425867.5078864353,7925000.0,450000.0,7500000.0,-425000.0,25500,0.0537372249698972,-0.10437958383504664
3375000000000.0,425777.9646761985,7926666.666666667,450000.0,7500000.0,-426666.666666667,25600,0.05371462969001663,-0.10475617183305619
3375000000000.0,425688.4591128863,7928333.333333333,450000.0,7500000.0,-428333.333333333,25700,0.05369204865834176,-0.10513252236097059
3375000000000.0,425598.99117276166,7930000.0,450000.0,7500000.0,-430000.0,25800,0.053669481862895545,-0.10550863561840751
3375000000000.0,425509.56083210756,7931666.666666667,450000.0,7500000.0,-431666.666666667,25900,0.0536469292917135,-0.10588451180477498
3375000000000.0,425420.1680672269,7933333.333333333,450000.0,7500000.0,-433333.333333333,26000,0.05362439093284373,-0.10626015111927123
3375000000000.0,425330.81285444234,7935000.0,450000.0,7500000.0,-435000.0,26100,0.05360186677434686,-0.10663555376088563
3375000000000.0,425241.4951700966,7936666.666666667,450000.0,7500000.0,-436666.666666667,26200,0.05357935680429608,-0.10701071992839861
3375000000000.0,425152.21499055217,7938333.333333333,450000.0,7500000.0,-438333.333333333,26300,0.0535568610107771,-0.10738564982038168
3375000000000.0,425062.9722921914,7940000.0,450000.0,7500000.0,-440000.0,26400,0.053534379381888084,-0.1077603436351986
3375000000000.0,424973.76705141657,7941666.666666667,450000.0,7500000.0,-441666.666666667,26500,0.053511911905739756,-0.10813480157100408
3375000000000.0,424884.59924464964,7943333.333333333,450000.0,7500000.0,-443333.333333333,26600,0.05348945857045526,-0.10850902382574557
3375000000000.0,424795.4688483323,7945000.0,450000.0,7500000.0,-445000.0,26700,0.053467019364170205,-0.10888301059716321
3375000000000.0,424706.3758389262,7946666.666666667,450000.0,7500000.0,-446666.666666667,26800,0.053444594275032654,-0.109256762082789
3375000000000.0,424617.3201929126,7948333.333333333,450000.0,7500000.0,-448333.333333333,26900,0.053422183291203094,-0.10963027847994844
3375000000000.0,424528.30188679247,7950000.0,450000.0,7500000.0,-450000.0,27000,0.053399786400854396,-0.11000355998576006
3375000000000.0,424439.3208970865,7951666.666666667,450000.0,7500000.0,-451666.666666667,27100,0.05337740359217185,-0.11037660679713579
3375000000000.0,424350.3772003353,7953333.333333333,450000.0,7500000.0,-453333.333333333,27200,0.05335503485335314,-0.11074941911078096
3375000000000.0,424261.4707730987,7955000.0,450000.0,7500000.0,-455000.0,27300,0.05333268017260826,-0.11112199712319559
3375000000000.0,424172.6015919564,7956666.666666667,450000.0,7500000.0,-456666.666666667,27400,0.05331033953815958,-0.11149434103067368
3375000000000.0,424083.7696335079,7958333.333333333,450000.0,7500000.0,-458333.333333333,27500,0.05328801293824183,-0.11186645102930282
3375000000000.0,423994.97487437184,7960000.0,450000.0,7500000.0,-460000.0,27600,0.05326570036110199,-0.11223832731496686
